movie_id,movie_name,genre,description,director,star
tt11121174,Beyond Paranormal,horror,Box Girl Lily an influencer wannabe will risk anything for fans including her boyfriend's sanity. Promoting her next project she receives a mysterious statue. Desperate for likes she ...                See full summary »,Matteo Ribaudo,"Cortney Palm, 
Ryan Donowho, 
Patricia Rae, 
Oliver Cooper"
tt0113105,Monster Mash: The Movie,horror,Two teenagers get trapped in a house with Dr. Frankenstein who wants to transfer one of their brains to his creature.,"Joel Cohen, 
Alec Sokolow","Ian Bohen, 
Candace Cameron Bure, 
Sarah Douglas, 
John Kassir"
tt0350044,Reflections of Evil,horror,"Julie, who died of a PCP overdose as a teen in the early '70s, searches from beyond the ethers for her little brother, Bob, an obese watch-seller, who is dying of sucrose intolerance, in the early '90s.",Damon Packard,"Damon Packard, 
Nicole Vanderhoff, 
Beverly Miller, 
Dean Spunt"
tt3480662,Flay,horror,"After the death of her mother, an estranged daughter struggles to save her brother, and those around her from a malevolent faceless spirit.",Eric Pham,"Violett Beane, 
Elle LaMont, 
A. Michael Baldwin, 
Peggy Schott"
tt0834102,Shadows,horror,"The son of a reputable physician struggles to live up to other people's expectations of him, until one day he is confronted by people who appear to die time and again.",Milcho Manchevski,"Borce Nacev, 
Vesna Stanojevska, 
Sabina Ajrula, 
Salaetin Bilal"
tt2991516,13/13/13,horror,"In the 13th month of the 13th year of a new millennium, humans battle a world of demons.",James Cullen Bressack,"Trae Ireland, 
Erin Coker, 
Jody Barton, 
Nihilist Gelo"
tt4631100,Bloody Crayons,horror,A group of graduating students goes to an island for a short film project when they are rattled by a mysterious killer who strives to kill all of them.,Topel Lee,"Ronnie Alonte, 
Janella Salvador, 
Elmo Magalona, 
Sofia Andres"
tt5861882,Sleep No More,horror,"A group of graduate students conduct a sleep deprivation study in the 80s, but something goes terribly wrong with a test subject. After their department is shut down, the team moves forward in secret - only this time on themselves.",Phillip Guzman,"Keli Price, 
Brea Grant, 
Stephen Ellis, 
Christine Dwyer"
tt6658702,The Night Watchers,horror,A b movie actress joins a crew of bickering film students as they venture into the woods to scout locations for an unscripted horror film. A series of disturbing events are caught on camera...                See full summary »,Alan Smithee,"Angie Stevenson, 
Ashley Brinkman, 
Brian Tyler Cohen, 
Stephen Wu"
tt0064729,Nightmare in Wax,horror,The disfigured curator of a wax museum murders his enemies and then uses their bodies as exhibits in his museum.,Bud Townsend,"Cameron Mitchell, 
Anne Helm, 
Scott Brady, 
Berry Kroeger"
tt0059756,Sting of Death,horror,A deformed man working for a marine biologist takes revenge on the people that mock him by experimenting with a deadly jellyfish.,William Grefé,"Joe Morrison, 
Valerie Hawkins, 
John Vella, 
Jack Nagle"
tt0068772,El jorobado de la Morgue,horror,Paul Naschy plays a hunchback with below average intelligence who works at the morgue. He is in love with a sickly girl who happens to be the only person who is kind to him. Each day he ...                See full summary »,Javier Aguirre,"Paul Naschy, 
Rosanna Yanni, 
Víctor Barrera, 
María Elena Arpón"
tt0083275,Variola Vera,horror,This is a true story of the famous Variola epidemic outbreak in Belgrade.,Goran Markovic,"Rade Serbedzija, 
Erland Josephson, 
Dusica Zegarac, 
Varja Djukic"
tt9764804,La isla de las Muñecas,horror,Add a Plot,Homero McDonald Chávez,"Javier Ponce, 
Alejandro Tommasi, 
Isaura Espinoza, 
Gerardo Murguía"
tt21519398,Ganymede,horror,"Follows Lee Fletcher IV, a high school senior who develops a crush on his openly gay classmate, but then finds himself stalked by a faceless creature that continuously inhabits his thoughts and threatens physical harm.","Colby Holt, 
Sam Probst","Robyn Lively, 
David Koechner, 
Joe Chrest, 
Pablo Castelblanco"
tt26470109,Oddity,horror,Add a Plot,Damian Mc Carthy,"Gwilym Lee, 
Carolyn Bracken, 
Tadhg Murphy, 
Caroline Menton"
tt3085500,Ninja Apocalypse,horror,"Framed for assassinating the Grandmaster, the Lost Ninja Clan must fight their way up an underground nuclear bunker filled with hordes of supernatural enemies, mutants, and flesh-eating zombies.",Lloyd Lee Barnett,"Christian Oliver, 
Les Brandt, 
Cary-Hiroyuki Tagawa, 
Ernie Reyes Jr."
tt0122505,Giochi erotici di una famiglia per bene,horror,"A well-known detractor of divorce, Riccardo, returns home one evening to catch his adulterous wife, Elisa with her lover, who manages to escape through the window unseen. Riccardo, ...                See full summary »",Francesco Degli Espinosa,"Donald O'Brien, 
Erika Blanc, 
Malisa Longo, 
Maria D'Incoronato"
